InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Date,Month,Week of the Year,Day of Week,Time,Hour,Time of Day,Sales Revenue
539993,22386,JUMBO BAG PINK POLKADOT,10,2011-01-04 10:00:00,1.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,19.5
539993,21499,BLUE POLKADOT WRAP,25,2011-01-04 10:00:00,0.42,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,10.5
539993,21498,RED RETROSPOT WRAP,25,2011-01-04 10:00:00,0.42,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,10.5
539993,22379,RECYCLING BAG RETROSPOT,5,2011-01-04 10:00:00,2.1,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,10.5
539993,20718,RED RETROSPOT SHOPPER BAG,10,2011-01-04 10:00:00,1.25,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,12.5
539993,85099B,JUMBO BAG RED RETROSPOT,10,2011-01-04 10:00:00,1.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,19.5
539993,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-01-04 10:00:00,3.25,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,19.5
539993,22961,JAM MAKING SET PRINTED,12,2011-01-04 10:00:00,1.45,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,17.4
539993,22667,RECIPE BOX RETROSPOT,6,2011-01-04 10:00:00,2.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,17.700000000000003
539993,22898,CHILDRENS APRON APPLES DESIGN,8,2011-01-04 10:00:00,1.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,15.6
539993,22896,PEG BAG APPLE DESIGN,6,2011-01-04 10:00:00,2.55,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,15.299999999999999
539993,22303,COFFEE MUG APPLES DESIGN,6,2011-01-04 10:00:00,2.55,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,15.299999999999999
539993,22302,COFFEE MUG PEARS  DESIGN,6,2011-01-04 10:00:00,2.55,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,15.299999999999999
539993,85123A,CREAM HANGING HEART T-LIGHT HOLDER,12,2011-01-04 10:00:00,2.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,35.400000000000006
539993,22808,SET OF 6 T-LIGHTS EASTER CHICKS,12,2011-01-04 10:00:00,2.95,13313,United Kingdom,2011-01-04,January,1,Tuesday,10:00:00,10,Morning,35.400000000000006
